Store_name,Category,Latitude,Longitude,City
More,supermarket,12.9496403,77.7158051,Bengaluru
Patanjali Pharmacy,supermarket,12.9511526,77.7156178,Bengaluru
FreshCo,supermarket,12.8985449,77.6582915,Bengaluru
DS Supermarket,supermarket,12.9281691,77.671773,Bengaluru
7 Days,supermarket,13.0204419,77.6367354,Bengaluru
Black Village Organic Food Store,supermarket,12.9884809,77.5931015,Bengaluru
Superstore,supermarket,12.9761427,77.6391205,Bengaluru
Nilgiri's,supermarket,13.0115623,77.6679382,Bengaluru
Nature's Basket,supermarket,12.9566826,77.7319037,Bengaluru
More,supermarket,12.9647768,77.5305308,Bengaluru
DMart,supermarket,12.853936,77.5882726,Bengaluru
DMart,supermarket,13.0334461,77.6374519,Bengaluru
Athulya Departmental,supermarket,13.0075364,77.5485219,Bengaluru
Shopwel Mart,supermarket,12.990736,77.5870219,Bengaluru
The Brigade Hypermart,supermarket,13.0522323,77.6462227,Bengaluru
shop@rite,supermarket,13.0576985,77.5465371,Bengaluru
Vishal Mega Mart,supermarket,13.0296204,77.5611135,Bengaluru
Royal Mart,supermarket,13.1140618,77.5789194,Bengaluru
Ashirwad Market,supermarket,12.9862606,77.5508527,Bengaluru
Carry Fresh,supermarket,13.000439,77.6156254,Bengaluru
Star Market,supermarket,13.0481365,77.6455307,Bengaluru
Reliance Fresh,supermarket,13.0475251,77.6443988,Bengaluru
Family Mart,supermarket,12.9597434,77.6019703,Bengaluru
Nilgiri's,supermarket,12.9081445,77.6633996,Bengaluru
Pluspoint Hypermarket,supermarket,12.9163079,77.6680022,Bengaluru
EasyDay Supermarket Ltd.,supermarket,13.0378871,77.5743958,Bengaluru
shop right,supermarket,13.0305173,77.6673115,Bengaluru
Pai Bhavan,supermarket,13.0404348,77.5174608,Bengaluru
"Green Mantra, Online zero waste store",supermarket,12.9583131,77.7067099,Bengaluru
Tinge Custom Makeup Studio,supermarket,12.9771467,77.6172628,Bengaluru
Prestige Supermarket,supermarket,12.9953917,77.6027682,Bengaluru
More,supermarket,13.0338742,77.5539838,Bengaluru
Food Supermarket,supermarket,13.0333661,77.5541308,Bengaluru
Nexgen supermarket,supermarket,13.0308986,77.5542479,Bengaluru
Kwality,supermarket,13.0188904,77.636681,Bengaluru
Dus Minute,supermarket,13.0459291,77.5006967,Bengaluru
Reliance Smart Point,supermarket,12.9084569,77.5119601,Bengaluru
,supermarket,12.9386635,77.6968558,Bengaluru
Deli day Mart,supermarket,12.9712747,77.6919326,Bengaluru
Sri Skanda Buy 'N' Save,supermarket,13.1040018,77.5715488,Bengaluru
Reliance SMART Point,supermarket,12.8730816,77.5666726,Bengaluru
Reliance SMART Point,supermarket,12.8677963,77.5769733,Bengaluru
Nature's Basket,supermarket,13.0596934,77.5930734,Bengaluru
Fresh Mart Super Bazar,supermarket,13.1025457,77.5717503,Bengaluru
Tynimo,supermarket,12.9935681,77.571371,Bengaluru
Sansar,supermarket,12.9334046,77.6968406,Bengaluru
Family Shopping Mart,supermarket,12.971867,77.6149549,Bengaluru
Vishal Mega Mart,supermarket,12.9015659,77.6758023,Bengaluru
Big Bazaar,supermarket,12.9192999,77.6689075,Bengaluru
AZ Home Needs,supermarket,12.9352256,77.7026481,Bengaluru
Vishal Mega Mart,supermarket,12.9349932,77.7438705,Bengaluru
Faso Supershoppe,supermarket,12.9588463,77.7214487,Bengaluru
Carry Mart,supermarket,12.9548374,77.6979822,Bengaluru
Farm Fresh Supermarket,supermarket,12.9785463,77.6968116,Bengaluru
Ratnadeep Supermarket,supermarket,12.9938978,77.7006253,Bengaluru
Ratnadeep Supermarket,supermarket,12.8833886,77.5493843,Bengaluru
Simpli Namdhari's,supermarket,12.9728708,77.7505792,Bengaluru
Vishal Mega Mart,supermarket,13.0335166,77.5038993,Bengaluru
,supermarket,12.9594039,77.71718,Bengaluru
Vishal Mega Mart,supermarket,13.0608078,77.5821447,Bengaluru
